Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Eptatretus polytrema,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,polytrema,"(Girard, 1855)",,,,196040,2013,DD,
Eptatretus profundus,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,profundus,"(Barnard, 1923)",,,,196041,2013,LC,
Eptatretus rubicundus,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,rubicundus,"Kuo, Lee &amp; Mok, 2010",,,,196042,2013,DD,
Eptatretus sinus,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,sinus,"Wisner &amp; McMillan, 1990",,,,196043,2013,LC,
Eptatretus stoutii,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,stoutii,"(Lockington, 1878)",,,,196044,2013,DD,
Eptatretus strahani,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,strahani,"McMillan &amp; Wisner, 1984",,,,196045,2013,DD,
Eptatretus strickrotti,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,strickrotti,"MÌüller &amp; Jones, 2007",,,,196046,2013,LC,
Eptatretus wisneri,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,wisneri,"McMillan, 1999",,,,196047,2013,LC,
Myxine affinis,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,affinis,"GÌ_nther, 1870",,,,196049,2013,LC,
Myxine australis,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,australis,"Jenyns, 1842",,,,196050,2013,LC,
Myxine capensis,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,capensis,"Regan, 1913",,,,196051,2013,LC,
Myxine circifrons,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,circifrons,"Garman, 1899",,,,196052,2013,LC,
Myxine debueni,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,debueni,"Wisner &amp; McMillan, 1995",,,,196053,2013,DD,
Myxine fernholmi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,fernholmi,"Wisner &amp; McMillan, 1995",,,,196054,2013,LC,
Myxine formosana,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,formosana,"Mok &amp; Kuo, 2001",,,,196055,2013,DD,
Myxine garmani,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,garmani,"Jordan &amp; Snyder, 1901",,,,196056,2013,VU,A2bd
Myxine glutinosa,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,glutinosa,"Linnaeus, 1758",,,,196057,2013,LC,
Myxine hubbsi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,hubbsi,"Wisner &amp; McMillan, 1995",,,,196058,2013,LC,
Myxine hubbsoides,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,hubbsoides,"Wisner &amp; McMillan, 1995",,,,196059,2013,DD,
Myxine ios,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,ios,"Fernholm, 1981",,,,196060,2013,LC,
Myxine jespersenae,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,jespersenae,"MÌüller, Feld, Poulsen, Thomsen &amp; Thormar, 2005",,,,196061,2013,LC,
Myxine knappi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,knappi,"Wisner &amp; McMillan, 1995",,,,196062,2013,DD,
Myxine kuoi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,kuoi,"Mok, 2002",,,,196063,2013,DD,
Myxine mccoskeri,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,mccoskeri,"Wisner &amp; McMillan, 1995",,,,196064,2013,LC,
Myxine mcmillanae,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,mcmillanae,"Hensley, 1991",,,,196065,2013,LC,
Myxine paucidens,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,paucidens,"Regan, 1913",,,,196066,2013,EN,B1ab(ii)
Myxine pequenoi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,pequenoi,"Wisner &amp; McMillan, 1995",,,,196067,2013,DD,
Myxine robinsorum,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,robinsorum,"Wisner &amp; McMillan, 1995",,,,196068,2013,LC,
Myxine sotoi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Myxine,sotoi,"Mincarone, 2001",,,,196069,2013,VU,B1ab(iii)
Nemamyxine elongata,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Nemamyxine,elongata,"Richardson, 1958",,,,196071,2013,DD,
Nemamyxine kreffti,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Nemamyxine,kreffti,"McMillan &amp; Wisner, 1982",,,,196072,2013,NT,
Neomyxine biniplicata,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Neomyxine,biniplicata,"(Richardson &amp; Jowett, 1951)",,,,196074,2013,DD,
Notomyxine tridentiger,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Notomyxine,tridentiger,"(Garman, 1899)",,,,196076,2013,DD,
Paramyxine ancon,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Paramyxine,ancon,"(Mok, Saavedra-Diaz &amp; Acero P.,  2001)",,,,196078,2013,DD,
Paramyxine atami,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Paramyxine,atami,"Dean, 1904",,,,196079,2013,DD,
