Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Apristurus canutus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,canutus,"Springer &amp; Heemstra, 1979",,,,44572,2007,DD,
Apristurus exsanguis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,exsanguis,"Sato, Nakaya &amp; Stewart, 1999",,,,41719,2003,LC,
Apristurus fedorovi,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,fedorovi,"Dolganov, 1983",,,,44210,2004,DD,
Apristurus gibbosus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,gibbosus,"Meng, Chu &amp; Li, 1985",,,,44211,2004,DD,
Apristurus herklotsi,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,herklotsi,"(Fowler, 1934)",,,,44212,2004,DD,
Apristurus indicus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,indicus,"(Brauer, 1906)",,,,161470,2009,DD,
Apristurus internatus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,internatus,"Deng, Xiong &amp; Zhan, 1988",,,,44213,2004,DD,
Apristurus investigatoris,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,investigatoris,"(Misra, 1962)",,,,44214,2004,DD,
Apristurus japonicus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,japonicus,"Nakaya, 1975",,,,161367,2009,DD,
Apristurus kampae,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,kampae,"Taylor, 1972",,,,44215,2015,DD,
Apristurus laurussonii,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,laurussonii,"(Saemundsson, 1922)",,,,44216,2007,DD,
Apristurus longicephalus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,longicephalus,"Nakaya, 1975",,,,44217,2015,LC,
Apristurus macrorhynchus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,macrorhynchus,"(Tanaka, 1909)",,,,44218,2004,DD,
Apristurus macrostomus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,macrostomus,"Chu, Meng &amp; Li, 1985",,,,44219,2004,DD,
Apristurus manis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,manis,"(Springer, 1979)",,,,44599,2004,LC,
Apristurus melanoasper,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,melanoasper,"Iglí©sias, Nakaya &amp; Stehmann, 2004",,,,42700,2009,DD,
Apristurus microps,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,microps,"(Gilchrist, 1922)",,,,44657,2004,LC,
Apristurus micropterygeus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,micropterygeus,"Meng, Chu &amp; Li, 1986",,,,44220,2004,DD,
Apristurus nasutus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,nasutus,"de Buen, 1959",,,,44573,2004,DD,
